rep,guard,recall,fpr
0,v2,0.851953125,0.0
0,v3,1.0,0.0
1,v2,0.8494496855345912,0.0
1,v3,1.0,0.0
2,v2,0.8576967816983326,0.0
2,v3,1.0,0.0
3,v2,0.8590342679127726,0.0
3,v3,1.0,0.0
4,v2,0.8522860492379836,0.0
4,v3,1.0,0.0
5,v2,0.8544674209910261,0.0
5,v3,1.0,0.0
6,v2,0.8620023192887515,0.0
6,v3,1.0,0.0
7,v2,0.8538884524744698,0.0
7,v3,1.0,0.0
8,v2,0.8548450372695174,0.0
8,v3,1.0,0.0
9,v2,0.8524143302180686,0.0
9,v3,1.0,0.0
10,v2,0.8554313099041534,0.0
10,v3,1.0,0.0
11,v2,0.8556981719175418,0.0
11,v3,1.0,0.0
12,v2,0.8537735849056604,0.0
12,v3,1.0,0.0
13,v2,0.8513513513513513,0.0
13,v3,1.0,0.0
14,v2,0.8559686888454012,0.0
14,v3,1.0,0.0
15,v2,0.854383932020085,0.0
15,v3,1.0,0.0
16,v2,0.8555772994129158,0.0
16,v3,1.0,0.0
17,v2,0.8578070515304146,0.0
17,v3,1.0,0.0
18,v2,0.8561484918793504,0.0
18,v3,1.0,0.0
19,v2,0.8476153547886778,0.0
19,v3,1.0,0.0
20,v2,0.8566891623660182,0.0
20,v3,1.0,0.0
21,v2,0.8518518518518519,0.0
21,v3,1.0,0.0
22,v2,0.8474708171206226,0.0
22,v3,1.0,0.0
23,v2,0.8603639240506329,0.0
23,v3,1.0,0.0
24,v2,0.8499409216226861,0.0
24,v3,1.0,0.0
25,v2,0.8568129330254042,0.0
25,v3,1.0,0.0
26,v2,0.8496908809891809,0.0
26,v3,1.0,0.0
27,v2,0.853078721745908,0.0
27,v3,1.0,0.0
28,v2,0.8552631578947368,0.0
28,v3,1.0,0.0
29,v2,0.8559718969555035,0.0
29,v3,1.0,0.0
30,v2,0.8499610288386594,0.0
30,v3,1.0,0.0
31,v2,0.8542574257425742,0.0
31,v3,1.0,0.0
32,v2,0.8550837553564472,0.0
32,v3,1.0,0.0
33,v2,0.8509047993705744,0.0
33,v3,1.0,0.0
34,v2,0.8591604550804237,0.0
34,v3,1.0,0.0
35,v2,0.8558211256746338,0.0
35,v3,1.0,0.0
36,v2,0.8527011270890011,0.0
36,v3,1.0,0.0
37,v2,0.8535922330097088,0.0
37,v3,1.0,0.0
38,v2,0.8523357086302454,0.0
38,v3,1.0,0.0
39,v2,0.8555900621118012,0.0
39,v3,1.0,0.0
40,v2,0.8462135922330097,0.0
40,v3,1.0,0.0
41,v2,0.8582089552238806,0.0
41,v3,1.0,0.0
42,v2,0.8546941955590183,0.0
42,v3,1.0,0.0
43,v2,0.8481308411214953,0.0
43,v3,1.0,0.0
44,v2,0.8501170960187353,0.0
44,v3,1.0,0.0
45,v2,0.8528842431281456,0.0
45,v3,1.0,0.0
46,v2,0.8549222797927462,0.0
46,v3,1.0,0.0
47,v2,0.8458252427184466,0.0
47,v3,1.0,0.0
48,v2,0.8521235521235522,0.0
48,v3,1.0,0.0
49,v2,0.8465116279069768,0.0
49,v3,1.0,0.0
50,v2,0.8561912225705329,0.0
50,v3,1.0,0.0
51,v2,0.8557844690966719,0.0
51,v3,1.0,0.0
52,v2,0.857860177674778,0.0
52,v3,1.0,0.0
53,v2,0.85325029194239,0.0
53,v3,1.0,0.0
54,v2,0.8525817895151754,0.0
54,v3,1.0,0.0
55,v2,0.8538613861386138,0.0
55,v3,1.0,0.0
56,v2,0.8518228145825166,0.0
56,v3,1.0,0.0
57,v2,0.8524850894632207,0.0
57,v3,1.0,0.0
58,v2,0.8536395484624367,0.0
58,v3,1.0,0.0
59,v2,0.8513883457176379,0.0
59,v3,1.0,0.0
60,v2,0.8494284588096177,0.0
60,v3,1.0,0.0
61,v2,0.8503347774714455,0.0
61,v3,1.0,0.0
62,v2,0.8515655199072284,0.0
62,v3,1.0,0.0
63,v2,0.8524399690162665,0.0
63,v3,1.0,0.0
64,v2,0.8581422464049747,0.0
64,v3,1.0,0.0
65,v2,0.8589051657671549,0.0
65,v3,1.0,0.0
66,v2,0.8553042121684867,0.0
66,v3,1.0,0.0
67,v2,0.8492832235567609,0.0
67,v3,1.0,0.0
68,v2,0.8532863849765259,0.0
68,v3,1.0,0.0
69,v2,0.8501755754974639,0.0
69,v3,1.0,0.0
70,v2,0.856137607505864,0.0
70,v3,1.0,0.0
71,v2,0.8552631578947368,0.0
71,v3,1.0,0.0
