rep,guard,recall,fpr
0,v2,0.8515198752922837,0.0
0,v3,1.0,0.0
1,v2,0.8569194683346364,0.0
1,v3,1.0,0.0
2,v2,0.8568037974683544,0.0
2,v3,1.0,0.0
3,v2,0.8545526212061489,0.0
3,v3,1.0,0.0
4,v2,0.8554122704181321,0.0
4,v3,1.0,0.0
5,v2,0.8578125,0.0
5,v3,1.0,0.0
6,v2,0.8510149368058215,0.0
6,v3,1.0,0.0
7,v2,0.8523357086302454,0.0
7,v3,1.0,0.0
8,v2,0.8534883720930233,0.0
8,v3,1.0,0.0
9,v2,0.8553092182030338,0.0
9,v3,1.0,0.0
10,v2,0.8516653756777691,0.0
10,v3,1.0,0.0
11,v2,0.8602150537634409,0.0
11,v3,1.0,0.0
12,v2,0.8542229078287698,0.0
12,v3,1.0,0.0
13,v2,0.8593141075604053,0.0
13,v3,1.0,0.0
14,v2,0.8548199767711963,0.0
14,v3,1.0,0.0
15,v2,0.8466019417475729,0.0
15,v3,1.0,0.0
16,v2,0.8519827247742442,0.0
16,v3,1.0,0.0
17,v2,0.8551965745426235,0.0
17,v3,1.0,0.0
18,v2,0.8536870854467421,0.0
18,v3,1.0,0.0
19,v2,0.856140350877193,0.0
19,v3,1.0,0.0
20,v2,0.852317360565593,0.0
20,v3,1.0,0.0
21,v2,0.8584942845880962,0.0
21,v3,1.0,0.0
22,v2,0.8566966028894963,0.0
22,v3,1.0,0.0
23,v2,0.8551401869158879,0.0
23,v3,1.0,0.0
24,v2,0.8522772277227723,0.0
24,v3,1.0,0.0
25,v2,0.8504340962904499,0.0
25,v3,1.0,0.0
26,v2,0.8621642969984202,0.0
26,v3,1.0,0.0
27,v2,0.8550610476565577,0.0
27,v3,1.0,0.0
28,v2,0.8508461235733963,0.0
28,v3,1.0,0.0
29,v2,0.8505254963020631,0.0
29,v3,1.0,0.0
30,v2,0.8550667714061273,0.0
30,v3,1.0,0.0
31,v2,0.85546875,0.0
31,v3,1.0,0.0
32,v2,0.8534883720930233,0.0
32,v3,1.0,0.0
33,v2,0.856757797458606,0.0
33,v3,1.0,0.0
34,v2,0.8494749124854143,0.0
34,v3,1.0,0.0
35,v2,0.8541501976284585,0.0
35,v3,1.0,0.0
36,v2,0.8547945205479452,0.0
36,v3,1.0,0.0
37,v2,0.8571428571428571,0.0
37,v3,1.0,0.0
38,v2,0.8554027504911591,0.0
38,v3,1.0,0.0
39,v2,0.8574249605055292,0.0
39,v3,1.0,0.0
40,v2,0.8541341653666147,0.0
40,v3,1.0,0.0
41,v2,0.8566966028894963,0.0
41,v3,1.0,0.0
42,v2,0.8519827247742442,0.0
42,v3,1.0,0.0
43,v2,0.8514464425332291,0.0
43,v3,1.0,0.0
44,v2,0.8605375925204519,0.0
44,v3,1.0,0.0
45,v2,0.8473603672532517,0.0
45,v3,1.0,0.0
46,v2,0.8455188679245284,0.0
46,v3,1.0,0.0
47,v2,0.8529759558533702,0.0
47,v3,1.0,0.0
48,v2,0.8560928433268858,0.0
48,v3,1.0,0.0
49,v2,0.8549141965678627,0.0
49,v3,1.0,0.0
50,v2,0.8514578408195429,0.0
50,v3,1.0,0.0
51,v2,0.8586914440572977,0.0
51,v3,1.0,0.0
52,v2,0.8528834837191055,0.0
52,v3,1.0,0.0
53,v2,0.8562426152028357,0.0
53,v3,1.0,0.0
54,v2,0.8557137360523278,0.0
54,v3,1.0,0.0
55,v2,0.8513833992094861,0.0
55,v3,1.0,0.0
56,v2,0.8519089857308138,0.0
56,v3,1.0,0.0
57,v2,0.8552631578947368,0.0
57,v3,1.0,0.0
58,v2,0.8498452012383901,0.0
58,v3,1.0,0.0
59,v2,0.8577620173364854,0.0
59,v3,1.0,0.0
60,v2,0.8531714956930305,0.0
60,v3,1.0,0.0
61,v2,0.8554216867469879,0.0
61,v3,1.0,0.0
62,v2,0.8556902620258114,0.0
62,v3,1.0,0.0
63,v2,0.8564102564102564,0.0
63,v3,1.0,0.0
64,v2,0.8557428459427675,0.0
64,v3,1.0,0.0
65,v2,0.8503321610003908,0.0
65,v3,1.0,0.0
66,v2,0.8529179810725552,0.0
66,v3,1.0,0.0
67,v2,0.858869395711501,0.0
67,v3,1.0,0.0
68,v2,0.8526112185686654,0.0
68,v3,1.0,0.0
69,v2,0.8494582043343654,0.0
69,v3,1.0,0.0
70,v2,0.8511214230471771,0.0
70,v3,1.0,0.0
71,v2,0.8537441497659907,0.0
71,v3,1.0,0.0
72,v2,0.8466640655481857,0.0
72,v3,1.0,0.0
73,v2,0.8533747090768037,0.0
73,v3,1.0,0.0
74,v2,0.8569758378799688,0.0
74,v3,1.0,0.0
75,v2,0.853963295587661,0.0
75,v3,1.0,0.0
76,v2,0.8457979953739398,0.0
76,v3,1.0,0.0
77,v2,0.8535548686244204,0.0
77,v3,1.0,0.0
78,v2,0.8524212144504227,0.0
78,v3,1.0,0.0
79,v2,0.8478176902278872,0.0
79,v3,1.0,0.0
80,v2,0.855859375,0.0
80,v3,1.0,0.0
81,v2,0.8573686290003951,0.0
81,v3,1.0,0.0
82,v2,0.8562548562548562,0.0
82,v3,1.0,0.0
83,v2,0.8501564945226917,0.0
83,v3,1.0,0.0
84,v2,0.8545098039215686,0.0
84,v3,1.0,0.0
85,v2,0.8611865063978286,0.0
85,v3,1.0,0.0
86,v2,0.8517786561264822,0.0
86,v3,1.0,0.0
87,v2,0.8532818532818532,0.0
87,v3,1.0,0.0
88,v2,0.8525291828793774,0.0
88,v3,1.0,0.0
89,v2,0.85,0.0
89,v3,1.0,0.0
90,v2,0.8530805687203792,0.0
90,v3,1.0,0.0
91,v2,0.8505791505791506,0.0
91,v3,1.0,0.0
92,v2,0.853897375636506,0.0
92,v3,1.0,0.0
93,v2,0.8497017892644135,0.0
93,v3,1.0,0.0
94,v2,0.8534516004627845,0.0
94,v3,1.0,0.0
95,v2,0.85003885003885,0.0
95,v3,1.0,0.0
96,v2,0.8529759558533702,0.0
96,v3,1.0,0.0
97,v2,0.855078125,0.0
97,v3,1.0,0.0
98,v2,0.8569767441860465,0.0
98,v3,1.0,0.0
99,v2,0.8586057502953919,0.0
99,v3,1.0,0.0
100,v2,0.8490492821109817,0.0
100,v3,1.0,0.0
101,v2,0.8599297698010144,0.0
101,v3,1.0,0.0
102,v2,0.8555729984301413,0.0
102,v3,1.0,0.0
103,v2,0.8508158508158508,0.0
103,v3,1.0,0.0
104,v2,0.8514263074484945,0.0
104,v3,1.0,0.0
105,v2,0.8534010946051602,0.0
105,v3,1.0,0.0
106,v2,0.8547140649149922,0.0
106,v3,1.0,0.0
107,v2,0.8565830721003135,0.0
107,v3,1.0,0.0
108,v2,0.852660841938046,0.0
108,v3,1.0,0.0
109,v2,0.857421875,0.0
109,v3,1.0,0.0
110,v2,0.8622568093385214,0.0
110,v3,1.0,0.0
111,v2,0.8553606237816764,0.0
111,v3,1.0,0.0
112,v2,0.8564122738001574,0.0
112,v3,1.0,0.0
113,v2,0.8538704581358609,0.0
113,v3,1.0,0.0
114,v2,0.856353591160221,0.0
114,v3,1.0,0.0
115,v2,0.855,0.0
115,v3,1.0,0.0
116,v2,0.8516332152695789,0.0
116,v3,1.0,0.0
117,v2,0.85703125,0.0
117,v3,1.0,0.0
118,v2,0.8536964980544747,0.0
118,v3,1.0,0.0
119,v2,0.8593872741555381,0.0
119,v3,1.0,0.0
120,v2,0.8546238244514106,0.0
120,v3,1.0,0.0
121,v2,0.8499216300940439,0.0
121,v3,1.0,0.0
122,v2,0.8545663852647736,0.0
122,v3,1.0,0.0
123,v2,0.8555339805825243,0.0
123,v3,1.0,0.0
124,v2,0.8566392479435958,0.0
124,v3,1.0,0.0
125,v2,0.8544031311154598,0.0
125,v3,1.0,0.0
126,v2,0.855862874951305,0.0
126,v3,1.0,0.0
127,v2,0.8537642885297596,0.0
127,v3,1.0,0.0
128,v2,0.8494117647058823,0.0
128,v3,1.0,0.0
129,v2,0.8519095869056897,0.0
129,v3,1.0,0.0
130,v2,0.8653395784543325,0.0
130,v3,1.0,0.0
131,v2,0.8482142857142857,0.0
131,v3,1.0,0.0
132,v2,0.8579928599761999,0.0
132,v3,1.0,0.0
133,v2,0.8518808777429467,0.0
133,v3,1.0,0.0
134,v2,0.8557273087594134,0.0
134,v3,1.0,0.0
135,v2,0.8515503875968993,0.0
135,v3,1.0,0.0
136,v2,0.8498054474708171,0.0
136,v3,1.0,0.0
137,v2,0.8564102564102564,0.0
137,v3,1.0,0.0
138,v2,0.8491008600469117,0.0
138,v3,1.0,0.0
139,v2,0.8549202644885259,0.0
139,v3,1.0,0.0
140,v2,0.860236220472441,0.0
140,v3,1.0,0.0
141,v2,0.8581560283687943,0.0
141,v3,1.0,0.0
142,v2,0.8494539781591264,0.0
142,v3,1.0,0.0
143,v2,0.8595877090626215,0.0
143,v3,1.0,0.0
144,v2,0.8565846033606878,0.0
144,v3,1.0,0.0
145,v2,0.8584650983416892,0.0
145,v3,1.0,0.0
146,v2,0.8513142408787759,0.0
146,v3,1.0,0.0
147,v2,0.8554216867469879,0.0
147,v3,1.0,0.0
148,v2,0.8584349193865514,0.0
148,v3,1.0,0.0
149,v2,0.8585346843335931,0.0
149,v3,1.0,0.0
150,v2,0.8475107800862407,0.0
150,v3,1.0,0.0
151,v2,0.8480219349784567,0.0
151,v3,1.0,0.0
152,v2,0.8585819449825649,0.0
152,v3,1.0,0.0
153,v2,0.8523076923076923,0.0
153,v3,1.0,0.0
154,v2,0.8563579277864992,0.0
154,v3,1.0,0.0
155,v2,0.8555772994129158,0.0
155,v3,1.0,0.0
156,v2,0.8530451866404715,0.0
156,v3,1.0,0.0
157,v2,0.8550272798129385,0.0
157,v3,1.0,0.0
158,v2,0.8575851393188855,0.0
158,v3,1.0,0.0
159,v2,0.8595727848101266,0.0
159,v3,1.0,0.0
160,v2,0.854289071680376,0.0
160,v3,1.0,0.0
161,v2,0.8562401263823065,0.0
161,v3,1.0,0.0
162,v2,0.8494373302289484,0.0
162,v3,1.0,0.0
163,v2,0.8549707602339182,0.0
163,v3,1.0,0.0
164,v2,0.8498226251478124,0.0
164,v3,1.0,0.0
165,v2,0.8546085615117625,0.0
165,v3,1.0,0.0
166,v2,0.8527070063694268,0.0
166,v3,1.0,0.0
167,v2,0.8583202511773941,0.0
167,v3,1.0,0.0
168,v2,0.8541103820918564,0.0
168,v3,1.0,0.0
169,v2,0.8536197295147175,0.0
169,v3,1.0,0.0
170,v2,0.8524461839530333,0.0
170,v3,1.0,0.0
171,v2,0.8546603475513428,0.0
171,v3,1.0,0.0
172,v2,0.8478513356562137,0.0
172,v3,1.0,0.0
173,v2,0.851808176100629,0.0
173,v3,1.0,0.0
174,v2,0.8521099496709252,0.0
174,v3,1.0,0.0
175,v2,0.8484375,0.0
175,v3,1.0,0.0
176,v2,0.8578143360752056,0.0
176,v3,1.0,0.0
177,v2,0.8477000386548125,0.0
177,v3,1.0,0.0
178,v2,0.8556296586896822,0.0
178,v3,1.0,0.0
179,v2,0.8575364029909485,0.0
179,v3,1.0,0.0
180,v2,0.8517374517374517,0.0
180,v3,1.0,0.0
181,v2,0.8583074534161491,0.0
181,v3,1.0,0.0
182,v2,0.8503875968992248,0.0
182,v3,1.0,0.0
183,v2,0.8535080956052429,0.0
183,v3,1.0,0.0
184,v2,0.859497645211931,0.0
184,v3,1.0,0.0
185,v2,0.8551805337519623,0.0
185,v3,1.0,0.0
186,v2,0.8489096573208723,0.0
186,v3,1.0,0.0
187,v2,0.8517637732857709,0.0
187,v3,1.0,0.0
188,v2,0.8553141970519783,0.0
188,v3,1.0,0.0
189,v2,0.8514619883040936,0.0
189,v3,1.0,0.0
190,v2,0.8496124031007752,0.0
190,v3,1.0,0.0
191,v2,0.8550610476565577,0.0
191,v3,1.0,0.0
192,v2,0.8517065515888583,0.0
192,v3,1.0,0.0
193,v2,0.8503534956794973,0.0
193,v3,1.0,0.0
194,v2,0.8522593320235756,0.0
194,v3,1.0,0.0
195,v2,0.8525345622119815,0.0
195,v3,1.0,0.0
196,v2,0.8611975116640747,0.0
196,v3,1.0,0.0
197,v2,0.8527918781725888,0.0
197,v3,1.0,0.0
198,v2,0.8494749124854143,0.0
198,v3,1.0,0.0
199,v2,0.8515198752922837,0.0
199,v3,1.0,0.0
200,v2,0.8524970963995354,0.0
200,v3,1.0,0.0
201,v2,0.8504490433424443,0.0
201,v3,1.0,0.0
202,v2,0.8525291828793774,0.0
202,v3,1.0,0.0
203,v2,0.853875968992248,0.0
203,v3,1.0,0.0
204,v2,0.8561912225705329,0.0
204,v3,1.0,0.0
205,v2,0.852586542201478,0.0
205,v3,1.0,0.0
206,v2,0.8520092735703245,0.0
206,v3,1.0,0.0
207,v2,0.8529067499024581,0.0
207,v3,1.0,0.0
208,v2,0.8565906455353691,0.0
208,v3,1.0,0.0
209,v2,0.8521154606563859,0.0
209,v3,1.0,0.0
210,v2,0.8526315789473684,0.0
210,v3,1.0,0.0
211,v2,0.8529988239905919,0.0
211,v3,1.0,0.0
212,v2,0.850337435490274,0.0
212,v3,1.0,0.0
213,v2,0.852156862745098,0.0
213,v3,1.0,0.0
214,v2,0.8520388349514563,0.0
214,v3,1.0,0.0
215,v2,0.8579192546583851,0.0
215,v3,1.0,0.0
216,v2,0.8543046357615894,0.0
216,v3,1.0,0.0
217,v2,0.8502715283165244,0.0
217,v3,1.0,0.0
218,v2,0.8556501547987616,0.0
218,v3,1.0,0.0
219,v2,0.8538884524744698,0.0
219,v3,1.0,0.0
220,v2,0.8537441497659907,0.0
220,v3,1.0,0.0
221,v2,0.8507936507936508,0.0
221,v3,1.0,0.0
222,v2,0.8600469116497264,0.0
222,v3,1.0,0.0
223,v2,0.8560341482343811,0.0
223,v3,1.0,0.0
224,v2,0.8544031311154598,0.0
224,v3,1.0,0.0
225,v2,0.8540519276160503,0.0
225,v3,1.0,0.0
226,v2,0.8546238244514106,0.0
226,v3,1.0,0.0
227,v2,0.8542070569988368,0.0
227,v3,1.0,0.0
228,v2,0.8536681051392703,0.0
228,v3,1.0,0.0
229,v2,0.8559622195985832,0.0
229,v3,1.0,0.0
230,v2,0.8522860492379836,0.0
230,v3,1.0,0.0
231,v2,0.8501742160278746,0.0
231,v3,1.0,0.0
232,v2,0.8524072612470402,0.0
232,v3,1.0,0.0
233,v2,0.8587041373926619,0.0
233,v3,1.0,0.0
234,v2,0.847944142746315,0.0
234,v3,1.0,0.0
235,v2,0.859073359073359,0.0
235,v3,1.0,0.0
236,v2,0.8505254963020631,0.0
236,v3,1.0,0.0
237,v2,0.8535728231159703,0.0
237,v3,1.0,0.0
238,v2,0.8490715132358752,0.0
238,v3,1.0,0.0
239,v2,0.8558663558663558,0.0
239,v3,1.0,0.0
240,v2,0.8534583821805393,0.0
240,v3,1.0,0.0
241,v2,0.8536779324055666,0.0
241,v3,1.0,0.0
242,v2,0.8545668365346922,0.0
242,v3,1.0,0.0
243,v2,0.8577586206896551,0.0
243,v3,1.0,0.0
244,v2,0.8583792289535799,0.0
244,v3,1.0,0.0
245,v2,0.8485207100591716,0.0
245,v3,1.0,0.0
246,v2,0.8562524347487339,0.0
246,v3,1.0,0.0
247,v2,0.8599146294140474,0.0
247,v3,1.0,0.0
248,v2,0.851953125,0.0
248,v3,1.0,0.0
249,v2,0.8528493364558938,0.0
249,v3,1.0,0.0
250,v2,0.8551724137931035,0.0
250,v3,1.0,0.0
251,v2,0.8516932658622032,0.0
251,v3,1.0,0.0
252,v2,0.8576484467164766,0.0
252,v3,1.0,0.0
253,v2,0.8550837553564472,0.0
253,v3,1.0,0.0
254,v2,0.8578582434514638,0.0
254,v3,1.0,0.0
255,v2,0.8507985975847293,0.0
255,v3,1.0,0.0
256,v2,0.8574784651527017,0.0
256,v3,1.0,0.0
257,v2,0.8489984591679507,0.0
257,v3,1.0,0.0
258,v2,0.8549202644885259,0.0
258,v3,1.0,0.0
259,v2,0.8533541341653667,0.0
259,v3,1.0,0.0
260,v2,0.8515777171795871,0.0
260,v3,1.0,0.0
261,v2,0.8499604117181314,0.0
261,v3,1.0,0.0
262,v2,0.8543123543123543,0.0
262,v3,1.0,0.0
263,v2,0.8530549110595514,0.0
263,v3,1.0,0.0
264,v2,0.8524717789022966,0.0
264,v3,1.0,0.0
265,v2,0.8535353535353535,0.0
265,v3,1.0,0.0
266,v2,0.8523568367744448,0.0
266,v3,1.0,0.0
267,v2,0.8596628773030184,0.0
267,v3,1.0,0.0
268,v2,0.8536203522504893,0.0
268,v3,1.0,0.0
269,v2,0.8531359563693027,0.0
269,v3,1.0,0.0
270,v2,0.8585897935333073,0.0
270,v3,1.0,0.0
271,v2,0.8540772532188842,0.0
271,v3,1.0,0.0
272,v2,0.85390625,0.0
272,v3,1.0,0.0
273,v2,0.8588421887390959,0.0
273,v3,1.0,0.0
274,v2,0.8577044025157232,0.0
274,v3,1.0,0.0
275,v2,0.8582238152130626,0.0
275,v3,1.0,0.0
276,v2,0.8602316602316602,0.0
276,v3,1.0,0.0
277,v2,0.8529062870699882,0.0
277,v3,1.0,0.0
